_id,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,rank,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
1,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3350,2900,0.0573088,3200,96.1,4000,3727,3701,2013,97.4
2,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2700,2700,0.0573088,2700,95.7,2900,2938,2850,2013,97.1
3,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),Nanyang Technological University,3000,2700,0.0573088,3000,85.7,3500,3214,3053,2013,90.9
4,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3400,3000,0.0573088,3400,87.5,4100,3615,3557,2013,87.5
5,College of Engineering,Aerospace Engineering,Nanyang Technological University,3500,3100,0.0573088,3500,95.3,3816,3536,3494,2013,95.3
6,College of Engineering,Bioengineering,Nanyang Technological University,3125,2893,0.0573088,2900,68.8,3365,3166,2952,2013,81.3
7,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3200,3000,0.0573088,3000,85.1,3800,3377,3235,2013,87.3
8,College of Engineering,Computer Engineering,Nanyang Technological University,3175,3000,0.0573088,3100,88.2,3600,3374,3326,2013,90.3
9,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,93.8,3380,3182,3091,2013,94.8
10,College of Engineering,Computer Science,Nanyang Technological University,3125,3000,0.0573088,3000,88.5,3600,3306,3249,2013,92.1
11,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,88.7,3440,3187,3133,2013,91
12,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,0.0573088,3000,81.5,3300,3140,3091,2013,84
13,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,2950,0.0573088,3150,79.6,3400,3203,3160,2013,85.7
14,College of Engineering,Materials Engineering,Nanyang Technological University,3000,2800,0.0573088,3000,78.9,3300,3096,2989,2013,82.5
15,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,89.5,3500,3226,3125,2013,91.6
16,College of Engineering,Maritime Studies,Nanyang Technological University,3000,2850,0.0573088,3000,93.3,3200,3111,3050,2013,95.6
17,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,2500,2300,0.0573088,2500,61.4,2900,2638,2639,2013,81.6
18,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3000,2600,0.0573088,2800,80.5,3300,2924,2818,2013,85.1
19,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3000,2700,0.0573088,2930,79.6,3250,2956,2893,2013,89.4
20,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3000,2800,0.0573088,3000,83.5,3545,3148,3085,2013,89.9
21,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3100,2800,0.0573088,3000,67.3,3400,3179,3087,2013,82.7
22,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,Nanyang Technological University,2625,2475,0.0573088,2600,81.3,3018,2725,2691,2013,90.6
23,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3000,2750,0.0573088,3000,71.8,3255,3061,3007,2013,82.4
24,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3100,2800,0.0573088,3000,55.8,3310,3082,2980,2013,74.4
25,College of Sciences,Biomedical Sciences **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
26,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,Nanyang Technological University,2807,2700,0.0573088,2800,88.4,3000,2883,2840,2013,90.7
27,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2700,0.0573088,2900,68.1,3250,3002,2881,2013,78.6
28,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3100,2800,0.0573088,3000,68.9,3400,3083,2993,2013,79.8
29,College of Sciences,Mathematics & Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
30,College of Sciences,Mathematical Science,Nanyang Technological University,3000,2750,0.0573088,3000,83.7,3500,3262,3169,2013,86
31,College of Sciences,Physics / Applied Physics,Nanyang Technological University,3300,2900,0.0573088,3000,69.2,3400,3208,3164,2013,80.8
32,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,0.0573088,3000,59.1,3400,2985,2968,2013,68.2
33,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3498,3300,0.0573088,3400,100,3800,3478,3377,2013,100
34,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3498,3400,0.0573088,3426,100,3575,3506,3413,2013,100
35,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,2800,2500,0.0573088,2730,70.1,3080,2888,2741,2013,84.8
36,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3200,2800,0.0573088,3200,74.6,3500,3154,3057,2013,86.6
37,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,National University of Singapore,3200,2800,0.0573088,3100,76.8,3500,3210,3098,2013,88.1
38,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2700,0.0573088,2868,81.7,3370,3062,2960,2013,88.7
39,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3200,2800,0.0573088,3050,90.3,3800,3512,3404,2013,94.6
40,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2700,2700,0.0573088,2700,88.9,3018,2922,2740,2013,93.3
41,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2800,2700,0.0573088,2800,94.4,3200,3143,3065,2013,97.2
42,School of Computing,Bachelor of Computing (Communications and Media),National University of Singapore,3050,2825,0.0573088,3000,77.8,3425,3377,3350,2013,88.9
43,School of Computing,Bachelor of Computing (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
44,School of Computing,Bachelor of Computing (Computer Engineering) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
45,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,3425,3000,0.0573088,3400,83.3,4000,3953,3933,2013,92.4
46,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,3080,2800,0.0573088,3050,83.3,3553,3320,3277,2013,88.9
47,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,3005,3000,0.0573088,3000,83.9,3800,3322,3266,2013,89.2
48,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4000,4000,0.0573088,4000,100,4400,4106,4106,2013,100
49,School of Design & Environment,Bachelor of Arts (Architecture) ** #,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
50,School of Design & Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2650,2400,0.0573088,2650,53.6,3000,3023,3007,2013,82.1
51,School of Design & Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2800,0.0573088,2980,96.8,3200,3025,2961,2013,96.8
52,School of Design & Environment,Bachelor of Science (Real Estate),National University of Singapore,2900,2600,0.0573088,2800,89.2,3179,2988,2839,2013,89.2
53,Faculty of Engineering,Bachelor of Engineering (Bioengineering),National University of Singapore,3000,2720,0.0573088,3000,60,3250,3068,2823,2013,74
54,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3175,3000,0.0573088,3000,90,3644,3359,3245,2013,93.2
55,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3050,3000,0.0573088,3000,94.1,3300,3154,3140,2013,96.1
56,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),National University of Singapore,3200,3000,0.0573088,3200,85.6,3970,3653,3592,2013,88.9
57,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3200,3000,0.0573088,3100,88,3600,3334,3286,2013,88.5
58,Faculty of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3000,2800,0.0573088,3000,75.9,3150,2960,2940,2013,86.2
59,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3110,3000,0.0573088,3100,87.5,3500,3208,3153,2013,93.8
60,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3200,3000,0.0573088,3200,92.4,3800,3397,3330,2013,93.9
61,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3000,3000,0.0573088,3000,87.9,3260,3169,3036,2013,90.9
62,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3225,3000,0.0573088,3000,87.2,3500,3319,3155,2013,89.1
63,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,National University of Singapore,5000,4500,0.0573088,4800,98.2,5800,5099,4922,2013,98.8
64,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,National University of Singapore,4500,4500,0.0573088,4500,100,5200,4741,4406,2013,100
65,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,2950,2700,0.0573088,2750,97.5,3050,2886,2687,2013,97.5
66,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3025,3000,0.0573088,3000,100,3200,3042,2896,2013,100
67,Yong Siew Toh Conservatory of Music,Bachelor of Music **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
68,Faculty of Science,Bachelor of Applied Science **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
69,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,2900,2600,0.0573088,2750,97.3,3255,2925,2850,2013,97.3
70,Faculty of Science,Bachelor of Science,National University of Singapore,2800,2600,0.0573088,2700,65.1,3000,2804,2726,2013,80.9
71,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3100,2868,0.0573088,3000,74,3500,3217,3101,2013,83.6
72,Faculty of Science,Bachelor of Science (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
73,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,National University of Singapore,3500,3350,0.0573088,3500,96.4,3750,3540,3473,2013,96.4
74,School of Accountancy (4-years programme) *,Accountancy (4-years programme),Singapore Management University,2825,2700,0.0573088,2800,93.2,3430,3342,3231,2013,94.2
75,School of Accountancy (4-years programme) *,Accountancy (4-years programme) Cum Laude and above,Singapore Management University,3000,2700,0.0573088,2900,95.2,3750,3634,3580,2013,95.2
76,School of Business (4-years programme) *,Business Management (4-years programme),Singapore Management University,3200,2800,0.0573088,3000,87.3,3750,3520,3344,2013,93.2
77,School of Business (4-years programme) *,Business Management (4-years programme) Cum Laude and above,Singapore Management University,3580,3000,0.0573088,3500,93.8,4100,3975,3825,2013,95.9
78,School of Economics (4-years programme) *,Economics (4-years programme),Singapore Management University,3339,3000,0.0573088,3200,88.6,3800,3513,3389,2013,90.6
79,School of Economics (4-years programme) *,Economics (4-years programme) Cum Laude and above,Singapore Management University,3600,3250,0.0573088,3500,94,4000,3820,3731,2013,94
80,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme),Singapore Management University,3300,3000,0.0573088,3300,89.5,3800,3468,3389,2013,93.6
81,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme) Cum Laude and above,Singapore Management University,3800,3500,0.0573088,3725,90.9,4000,3862,3786,2013,100
82,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme),Singapore Management University,3000,2600,0.0573088,3000,79.8,3320,3150,3122,2013,86.5
83,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme) Cum Laude and above,Singapore Management University,3200,2800,0.0573088,3200,83.3,3781,3267,3251,2013,87.5
84,School of Law (4-years programme) *,Law (4-years programme) #,Singapore Management University,5000,4500,0.0573088,4800,100,6000,5246,5023,2013,100
85,School of Law (4-years programme) *,Law (4-years programme) Cum Laude and above #,Singapore Management University,5547,4750,0.0573088,5000,100,6400,5617,5329,2013,100
917,Faculty of Science,Bachelor of Science,National University of Singapore,2800,2600,0.0573088,2700,65.1,3000,2804,2726,2013,80.9
848,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3350,2900,0.0573088,3200,96.1,4000,3727,3701,2013,97.4
849,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2700,2700,0.0573088,2700,95.7,2900,2938,2850,2013,97.1
850,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),Nanyang Technological University,3000,2700,0.0573088,3000,85.7,3500,3214,3053,2013,90.9
851,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3400,3000,0.0573088,3400,87.5,4100,3615,3557,2013,87.5
852,College of Engineering,Aerospace Engineering,Nanyang Technological University,3500,3100,0.0573088,3500,95.3,3816,3536,3494,2013,95.3
853,College of Engineering,Bioengineering,Nanyang Technological University,3125,2893,0.0573088,2900,68.8,3365,3166,2952,2013,81.3
854,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3200,3000,0.0573088,3000,85.1,3800,3377,3235,2013,87.3
855,College of Engineering,Computer Engineering,Nanyang Technological University,3175,3000,0.0573088,3100,88.2,3600,3374,3326,2013,90.3
856,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,93.8,3380,3182,3091,2013,94.8
857,College of Engineering,Computer Science,Nanyang Technological University,3125,3000,0.0573088,3000,88.5,3600,3306,3249,2013,92.1
858,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,88.7,3440,3187,3133,2013,91
859,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,0.0573088,3000,81.5,3300,3140,3091,2013,84
860,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,2950,0.0573088,3150,79.6,3400,3203,3160,2013,85.7
861,College of Engineering,Materials Engineering,Nanyang Technological University,3000,2800,0.0573088,3000,78.9,3300,3096,2989,2013,82.5
862,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,89.5,3500,3226,3125,2013,91.6
863,College of Engineering,Maritime Studies,Nanyang Technological University,3000,2850,0.0573088,3000,93.3,3200,3111,3050,2013,95.6
864,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,2500,2300,0.0573088,2500,61.4,2900,2638,2639,2013,81.6
865,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3000,2600,0.0573088,2800,80.5,3300,2924,2818,2013,85.1
866,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3000,2700,0.0573088,2930,79.6,3250,2956,2893,2013,89.4
867,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3000,2800,0.0573088,3000,83.5,3545,3148,3085,2013,89.9
868,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3100,2800,0.0573088,3000,67.3,3400,3179,3087,2013,82.7
869,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,Nanyang Technological University,2625,2475,0.0573088,2600,81.3,3018,2725,2691,2013,90.6
870,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3000,2750,0.0573088,3000,71.8,3255,3061,3007,2013,82.4
871,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3100,2800,0.0573088,3000,55.8,3310,3082,2980,2013,74.4
872,College of Sciences,Biomedical Sciences **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
873,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,Nanyang Technological University,2807,2700,0.0573088,2800,88.4,3000,2883,2840,2013,90.7
874,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2700,0.0573088,2900,68.1,3250,3002,2881,2013,78.6
875,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3100,2800,0.0573088,3000,68.9,3400,3083,2993,2013,79.8
876,College of Sciences,Mathematics & Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
877,College of Sciences,Mathematical Science,Nanyang Technological University,3000,2750,0.0573088,3000,83.7,3500,3262,3169,2013,86
878,College of Sciences,Physics / Applied Physics,Nanyang Technological University,3300,2900,0.0573088,3000,69.2,3400,3208,3164,2013,80.8
879,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,0.0573088,3000,59.1,3400,2985,2968,2013,68.2
880,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3498,3300,0.0573088,3400,100,3800,3478,3377,2013,100
881,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3498,3400,0.0573088,3426,100,3575,3506,3413,2013,100
882,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,2800,2500,0.0573088,2730,70.1,3080,2888,2741,2013,84.8
883,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3200,2800,0.0573088,3200,74.6,3500,3154,3057,2013,86.6
884,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,National University of Singapore,3200,2800,0.0573088,3100,76.8,3500,3210,3098,2013,88.1
885,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2700,0.0573088,2868,81.7,3370,3062,2960,2013,88.7
886,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3200,2800,0.0573088,3050,90.3,3800,3512,3404,2013,94.6
887,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2700,2700,0.0573088,2700,88.9,3018,2922,2740,2013,93.3
888,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2800,2700,0.0573088,2800,94.4,3200,3143,3065,2013,97.2
889,School of Computing,Bachelor of Computing (Communications and Media),National University of Singapore,3050,2825,0.0573088,3000,77.8,3425,3377,3350,2013,88.9
890,School of Computing,Bachelor of Computing (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
891,School of Computing,Bachelor of Computing (Computer Engineering) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
892,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,3425,3000,0.0573088,3400,83.3,4000,3953,3933,2013,92.4
893,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,3080,2800,0.0573088,3050,83.3,3553,3320,3277,2013,88.9
894,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,3005,3000,0.0573088,3000,83.9,3800,3322,3266,2013,89.2
895,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4000,4000,0.0573088,4000,100,4400,4106,4106,2013,100
896,School of Design & Environment,Bachelor of Arts (Architecture) ** #,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
897,School of Design & Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2650,2400,0.0573088,2650,53.6,3000,3023,3007,2013,82.1
898,School of Design & Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2800,0.0573088,2980,96.8,3200,3025,2961,2013,96.8
899,School of Design & Environment,Bachelor of Science (Real Estate),National University of Singapore,2900,2600,0.0573088,2800,89.2,3179,2988,2839,2013,89.2
900,Faculty of Engineering,Bachelor of Engineering (Bioengineering),National University of Singapore,3000,2720,0.0573088,3000,60,3250,3068,2823,2013,74
901,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3175,3000,0.0573088,3000,90,3644,3359,3245,2013,93.2
902,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3050,3000,0.0573088,3000,94.1,3300,3154,3140,2013,96.1
903,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),National University of Singapore,3200,3000,0.0573088,3200,85.6,3970,3653,3592,2013,88.9
904,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3200,3000,0.0573088,3100,88,3600,3334,3286,2013,88.5
905,Faculty of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3000,2800,0.0573088,3000,75.9,3150,2960,2940,2013,86.2
906,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3110,3000,0.0573088,3100,87.5,3500,3208,3153,2013,93.8
907,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3200,3000,0.0573088,3200,92.4,3800,3397,3330,2013,93.9
908,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3000,3000,0.0573088,3000,87.9,3260,3169,3036,2013,90.9
909,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3225,3000,0.0573088,3000,87.2,3500,3319,3155,2013,89.1
910,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,National University of Singapore,5000,4500,0.0573088,4800,98.2,5800,5099,4922,2013,98.8
911,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,National University of Singapore,4500,4500,0.0573088,4500,100,5200,4741,4406,2013,100
912,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,2950,2700,0.0573088,2750,97.5,3050,2886,2687,2013,97.5
913,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3025,3000,0.0573088,3000,100,3200,3042,2896,2013,100
914,Yong Siew Toh Conservatory of Music,Bachelor of Music **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
915,Faculty of Science,Bachelor of Applied Science **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
916,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,2900,2600,0.0573088,2750,97.3,3255,2925,2850,2013,97.3
918,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3100,2868,0.0573088,3000,74,3500,3217,3101,2013,83.6
919,Faculty of Science,Bachelor of Science (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2013,na
920,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,National University of Singapore,3500,3350,0.0573088,3500,96.4,3750,3540,3473,2013,96.4
921,School of Accountancy (4-years programme) *,Accountancy (4-years programme),Singapore Management University,2825,2700,0.0573088,2800,93.2,3430,3342,3231,2013,94.2
922,School of Accountancy (4-years programme) *,Accountancy (4-years programme) Cum Laude and above,Singapore Management University,3000,2700,0.0573088,2900,95.2,3750,3634,3580,2013,95.2
923,School of Business (4-years programme) *,Business Management (4-years programme),Singapore Management University,3200,2800,0.0573088,3000,87.3,3750,3520,3344,2013,93.2
924,School of Business (4-years programme) *,Business Management (4-years programme) Cum Laude and above,Singapore Management University,3580,3000,0.0573088,3500,93.8,4100,3975,3825,2013,95.9
925,School of Economics (4-years programme) *,Economics (4-years programme),Singapore Management University,3339,3000,0.0573088,3200,88.6,3800,3513,3389,2013,90.6
926,School of Economics (4-years programme) *,Economics (4-years programme) Cum Laude and above,Singapore Management University,3600,3250,0.0573088,3500,94,4000,3820,3731,2013,94
927,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme),Singapore Management University,3300,3000,0.0573088,3300,89.5,3800,3468,3389,2013,93.6
928,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme) Cum Laude and above,Singapore Management University,3800,3500,0.0573088,3725,90.9,4000,3862,3786,2013,100
929,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme),Singapore Management University,3000,2600,0.0573088,3000,79.8,3320,3150,3122,2013,86.5
930,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme) Cum Laude and above,Singapore Management University,3200,2800,0.0573088,3200,83.3,3781,3267,3251,2013,87.5
931,School of Law (4-years programme) *,Law (4-years programme) #,Singapore Management University,5000,4500,0.0573088,4800,100,6000,5246,5023,2013,100
932,School of Law (4-years programme) *,Law (4-years programme) Cum Laude and above #,Singapore Management University,5547,4750,0.0573088,5000,100,6400,5617,5329,2013,100
87,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2840,2700,0.0573088,2800,96.1,3000,3003,2981,2014,96.6
88,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),Nanyang Technological University,3100,2800,0.0573088,3000,80.2,3600,3318,3231,2014,89.6
89,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3450,3232,0.0573088,3400,89.3,4000,3431,3398,2014,92.9
90,College of Engineering,Aerospace Engineering,Nanyang Technological University,3770,3300,0.0573088,3700,82.7,4070,3911,3715,2014,84.6
91,College of Engineering,Bioengineering,Nanyang Technological University,3000,2825,0.0573088,3000,69.7,3400,3188,2998,2014,79.8
92,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3400,3200,0.0573088,3250,76.1,3575,3415,3296,2014,83.8
93,College of Engineering,Computer Engineering,Nanyang Technological University,3400,3200,0.0573088,3300,88.8,3800,3512,3423,2014,91.4
94,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,92.9,3300,3152,3122,2014,93.8
95,College of Engineering,Computer Science,Nanyang Technological University,3200,3000,0.0573088,3200,93.7,3700,3304,3269,2014,94.5
96,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3200,3000,0.0573088,3175,88.4,3500,3336,3241,2014,90.7
97,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,0.0573088,3000,82.2,3500,3111,3121,2014,88.9
98,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,3000,0.0573088,3000,73.2,3600,3318,3185,2014,85.7
99,College of Engineering,Materials Engineering,Nanyang Technological University,3150,3000,0.0573088,3000,77.7,3410,3261,3145,2014,82.5
100,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,87.8,3500,3289,3161,2014,90.2
101,College of Engineering,Maritime Studies,Nanyang Technological University,3050,3000,0.0573088,3050,92.5,3500,3206,3163,2014,92.5
102,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,2700,2300,0.0573088,2600,68,3000,2791,2761,2014,80
103,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3000,2700,0.0573088,3000,75.8,3300,3006,2927,2014,86.8
104,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3000,2600,0.0573088,2800,77.9,3294,2976,2891,2014,86.7
105,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3200,3000,0.0573088,3075,78.4,3500,3222,3183,2014,88.7
106,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3100,2800,0.0573088,3000,63,3990,3432,3137,2014,87
107,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,Nanyang Technological University,3230,2800,0.0573088,3000,66.7,3500,3148,3066,2014,85.7
108,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3100,2800,0.0573088,3100,54.9,3500,3228,3197,2014,66.7
109,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3100,2800,0.0573088,3000,67.9,3260,3143,3002,2014,73.2
110,College of Sciences,Biomedical Science **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2014,na
111,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,Nanyang Technological University,2900,2786,0.0573088,2900,100,3400,3018,2974,2014,100
112,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2800,0.0573088,3000,60.8,3400,3174,3083,2014,75.1
113,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3100,2800,0.0573088,3000,68.3,3400,3321,3006,2014,80.5
114,College of Sciences,Mathematics & Economics,Nanyang Technological University,3200,2800,0.0573088,3200,87,3500,3142,3155,2014,88.4
115,College of Sciences,Mathematical Science,Nanyang Technological University,3200,2800,0.0573088,3000,79.7,3300,3078,3022,2014,91.3
116,College of Sciences,Physics / Applied Physics,Nanyang Technological University,3100,2800,0.0573088,3000,63.2,3560,3241,3034,2014,73.7
117,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,0.0573088,2800,69.7,3590,3229,3076,2014,87.9
118,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3475,3400,0.0573088,3400,100,3750,3475,3358,2014,100
